Control,cases
525.8426013,46.76876988
249.5098047,57.38078956
232.5387588,388.8478801
210.4535743,73.55427676
225.8128086,159.5215582
248.0494456,73.55427676
191.0880686,213.6444572
265.8488702,198.5974045
340.9010599,81.47290764
353.6403596,49.58272559
518.7738626,80.29150593
646.5154666,144.0171117
98.72589386,141.9287849
110.6628565,210.5464958
274.6615744,536.2153066
305.3711014,277.8923888
112.024505,91.57187664
237.1723284,247.2451341
262.6174993,226.4988907
468.5095441,137.8425377
1664.594364,148.2863999
5987.004089,7.106077766
3080.609658,198.5974045
892.1531138,290.3404121
687.281582,437.047494
399.6440919,210.5464958
281.462292,312.3385219
224.9308384,281.9812714
176.1269665,207.4934565
144.8262674,219.9778001
159.71165,152.6822482
245.0344253,20.34089435
259.4254055,258.3203321
301.6593411,377.6526278
327.2837885,868.3172206
347.9207096,975.9494255
447.965119,
498.0514732,
591.0584517,
144.2370901,
478.1568384,
586.2591855,
687.281582,
874.1530288,
132.4033125,
150.2383516,
226.7721792,
278.0411413,
371.3696881,
558.2709516,
701.4337115,
727.6459335,
1158.09473,
1414.141895,
102.4152304,
130.7939613,
201.4877216,
209.0172156,
229.5624922,
426.5790959,
446.1427224,
482.0711515,
574.4308177,
745.6627038,
139.6091445,
206.4766287,
215.067486,
265.8488702,
324.6263152,
346.5053103,
447.965119,
470.4233043,
730.6182099,
812.3076114,
863.5277717,
1063.080089,
1130.11274,
1975.443545,
2804.902695,
3854.853613,
667.9470025,
613.1460063,
218.6030925,
294.3706206,
310.3912562,
77.93789991,
95.94854074,
167.0362918,
210.7282835,
226.7721792,
323.3056814,
318.0766533,
274.6615744,
141.3269619,
229.5624922,
586.2591855,
636.0589616,
68.12805157,
83.19071783,
121.0459779,
161.0190901,
173.2783533,
115.7380391,
118.6037538,
145.4178514,
157.1285321,
168.4036932,
233.3363897,
282.6120047,
486.0175081,
510.3834036,
558.2709516,
583.8741855,
818.9573674,
863.5277717,
1153.383408,
476.2116168,
542.5656943,
433.5918522,
667.9470025,
707.1758256,
770.3809012,
799.1696448,
1181.941589,
1271.929261,
1158.09473,
1271.929261,
1419.918359,
867.0550961,
792.6805608,
610.6516263,
628.3277179,
727.6459335,
437.1413449,
355.0849041,
255.2295538,
50.79935433,
54.44459238,
53.34611806,
55.11450459,
61.27678036,
71.54356842,
77.30506109,
3.100084612,
1.233861352,
1.223842666,
6.430912522,
1.223842666,
1.223842666,
6.977186272,
7.47785218,
23.31924624,
360.9223301,
1148.691253,
21.66943383,
116.6855,
1534.266153,
150.2383516,
68.40633995,
134.032466,
171.1721694,
451.632275,
81.51226156,
130.7939613,
24.89090464,
38.18837581,
48.77017732,
126.5973477,
742.6292238,
1896.534576,
24.9925786,
32.44260782,
70.67396231,
92.11588231,
167.0362918,
203.1371512,
254.1912375,
12.19616158,
14.59217884,
117.162135,
131.3282264,
281.462292,
88.43631918,
92.49215579,
134.5799597,
172.5734281,
216.8280829,
223.1044488,
280.3172566,
331.3108442,
421.3940626,
54.89028961,
62.28414131,
79.86766984,
109.3177587,
114.7982713,
525.1571034,
757.9210419,
849.5613889,
895.7973665,
1148.691253,
1341.151913,
99.9406643,
105.3797701,
126.0823286,
146.0118519,
211.589063,
228.6285938,
283.7664137,
314.2104581,
707.1758256,
58.82908322,
73.31501243,
76.67736078,
91.74113957,
99.12916781,
121.0459779,
128.1550618,
149.0184488,
185.7123863,
221.2928892,
262.6174993,
401.2765517,
533.7904349,
630.8943009,
690.0889788,
1497.195074,
55.33963543,
131.3282264,
136.7923898,
150.8520428,
180.4879324,
242.0560523,
255.2295538,
276.9100237,
399.6440919,
431.8279284,
1020.615422,
47.98138628,
57.64214739,
93.24932002,
108.4301223,
115.7380391,
137.912207,
147.207142,
186.4709812,
199.0386552,
216.8280829,
269.1200014,
291.9803951,
388.4013194,
474.2743087,
549.2416812,
586.2591855,
802.4340802,
1425.718419,
52.69770044,
95.16945943,
103.6753962,
129.7319427,
152.0869558,
159.71165,
164.3347078,
197.4225045,
218.6030925,
242.0560523,
254.1912375,
328.6206721,
343.6917624,
581.4988882,
659.8281624,
692.9078432,
745.6627038,
874.1530288,
948.4079424,
47.98138628,
61.02749622,
67.29996079,
69.81492619,
73.31501243,
114.7982713,
139.0411913,
152.0869558,
161.0190901,
196.6193569,
254.1912375,
271.3230859,
286.0893974,
320.6805094,
338.1330174,
356.5353493,
416.2720529,
516.6634042,
542.5656943,
779.8600349,
69.24804415,
75.43720915,
112.4821009,
134.5799597,
152.7081982,
170.4758125,
184.9568774,
249.062674,
260.4851023,
293.173072,
320.6805094,
372.8866531,
472.3448819,
531.6188866,
610.6516263,
633.4713679,
692.9078432,
956.1718501,
1058.755302,
20.05442593,
38.03301914,
43.50944392,
46.82205565,
80.52148682,
119.0882245,
138.4755486,
152.7081982,
158.4148261,
165.6799934,
176.1269665,
199.0386552,
210.7282835,
248.0494456,
265.8488702,
278.0411413,
